project,module,package,type_name,file,entrypoint_reasons
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServlet31Async,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServlet31Async.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServlet31AsyncRead,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServlet31AsyncRead.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServletCDI,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServletCDI.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServletCDIBeanManagerViaCDICurrent,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServletCDIBeanManagerViaCDICurrent.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServletCDIBeanManagerViaJNDI,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServletCDIBeanManagerViaJNDI.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServletLargeContentLength,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServletLargeContentLength.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServletSetContentLength,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServletSetContentLength.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingServletWriter,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingServletWriter.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingSession1,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingSession1.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingSession2,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingSession2.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingSession3,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingSession3.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims,PingUpgradeServlet,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/PingUpgradeServlet.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2MDBQueue,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2MDBQueue.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2MDBTopic,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2MDBTopic.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2Session2CMROne2Many,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2Session2CMROne2Many.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2Session2CMROne2One,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2Session2CMROne2One.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2Session2Entity,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2Session2Entity.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2Session2Entity2JSP,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2Session2Entity2JSP.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2Session2EntityCollection,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2Session2EntityCollection.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2SessionLocal,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2SessionLocal.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2SessionRemote,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2SessionRemote.java,http-entrypoint
daytrader7,sample.daytrader7/daytrader-ee7-web,com.ibm.websphere.samples.daytrader.web.prims.ejb3,PingServlet2TwoPhase,systems/daytrader7/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/prims/ejb3/PingServlet2TwoPhase.java,http-entrypoint
