project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
7ep,demo,other-java,systems/7ep/demo/src/integration_test/java,systems/7ep/demo/src/integration_test/java/com/coveros/training/persistence/PersistenceLayerTests.java,com.coveros.training.persistence,PersistenceLayerTests,class,persistence,415,242,34,28,19,4,15,False,False,,Before|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java,com.coveros.training.authentication.domainobjects,PasswordResult,class,domain,104,73,9,9,4,0,4,False,False,,Override|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResultEnums.java,com.coveros.training.authentication.domainobjects,PasswordResultEnums,enum,domain,27,9,0,0,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java,com.coveros.training.authentication.domainobjects,RegistrationResult,class,domain,73,56,10,10,4,0,4,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationStatusEnums.java,com.coveros.training.authentication.domainobjects,RegistrationStatusEnums,enum,domain,15,9,0,0,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/domainobjects/User.java,com.coveros.training.authentication.domainobjects,User,class,domain,68,44,7,7,4,0,4,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/LoginServlet.java,com.coveros.training.authentication,LoginServlet,class,controller,53,35,1,0,8,2,6,False,True,http-entrypoint,WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/LoginUtils.java,com.coveros.training.authentication,LoginUtils,class,other,49,33,7,7,5,3,2,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/RegisterServlet.java,com.coveros.training.authentication,RegisterServlet,class,controller,61,40,2,0,9,3,6,False,True,http-entrypoint,WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java,com.coveros.training.authentication,RegistrationUtils,class,other,144,90,10,9,14,5,9,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/cartesianproduct/CartesianProduct.java,com.coveros.training.cartesianproduct,CartesianProduct,class,other,10,7,1,1,1,0,1,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/expenses/AlcoholCalculator.java,com.coveros.training.expenses,AlcoholCalculator,class,other,7,6,1,1,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/expenses/AlcoholResult.java,com.coveros.training.expenses,AlcoholResult,class,other,17,14,3,3,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/expenses/DinnerPrices.java,com.coveros.training.expenses,DinnerPrices,class,other,15,13,2,2,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/helpers/AssertionException.java,com.coveros.training.helpers,AssertionException,class,utility,13,6,2,2,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/helpers/CheckUtils.java,com.coveros.training.helpers,CheckUtils,class,utility,49,22,5,3,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/helpers/ServletUtils.java,com.coveros.training.helpers,ServletUtils,class,utility,46,24,4,2,3,0,3,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/helpers/StringUtils.java,com.coveros.training.helpers,StringUtils,class,utility,51,23,4,2,2,0,2,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/domainobjects/Book.java,com.coveros.training.library.domainobjects,Book,class,domain,72,48,8,8,5,1,4,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/domainobjects/Borrower.java,com.coveros.training.library.domainobjects,Borrower,class,domain,76,48,8,8,5,1,4,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/domainobjects/LibraryActionResults.java,com.coveros.training.library.domainobjects,LibraryActionResults,enum,domain,42,14,0,0,0,0,0,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/domainobjects/Loan.java,com.coveros.training.library.domainobjects,Loan,class,domain,86,53,7,7,5,0,5,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/LibraryBookListAvailableServlet.java,com.coveros.training.library,LibraryBookListAvailableServlet,class,controller,45,34,1,0,11,2,9,False,True,http-entrypoint,MultipartConfig|WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/LibraryBookListSearchServlet.java,com.coveros.training.library,LibraryBookListSearchServlet,class,controller,84,70,4,0,12,3,9,False,True,http-entrypoint,MultipartConfig|WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/LibraryBorrowerListSearchServlet.java,com.coveros.training.library,LibraryBorrowerListSearchServlet,class,controller,85,70,4,0,12,3,9,False,True,http-entrypoint,MultipartConfig|WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/LibraryLendServlet.java,com.coveros.training.library,LibraryLendServlet,class,controller,61,42,2,0,11,3,8,False,True,http-entrypoint,WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/LibraryRegisterBookServlet.java,com.coveros.training.library,LibraryRegisterBookServlet,class,controller,45,32,1,0,9,3,6,False,True,http-entrypoint,WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/LibraryRegisterBorrowerServlet.java,com.coveros.training.library,LibraryRegisterBorrowerServlet,class,controller,45,32,1,0,9,3,6,False,True,http-entrypoint,WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/library/LibraryUtils.java,com.coveros.training.library,LibraryUtils,class,other,247,177,24,21,11,6,5,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/mathematics/Ackermann.java,com.coveros.training.mathematics,Ackermann,class,other,36,21,4,2,1,0,1,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/mathematics/AckermannIterative.java,com.coveros.training.mathematics,AckermannIterative,interface,other,149,132,7,0,6,0,6,False,False,,FunctionalInterface|Override|Override|Override|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/mathematics/AckServlet.java,com.coveros.training.mathematics,AckServlet,class,controller,74,52,5,0,9,1,8,False,True,http-entrypoint,MultipartConfig|WebServlet|Override
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/mathematics/Calculator.java,com.coveros.training.mathematics,Calculator,class,other,128,71,14,14,1,0,1,False,False,,
7ep,demo,main,systems/7ep/demo/src/main/java,systems/7ep/demo/src/main/java/com/coveros/training/mathematics/Fibonacci.java,com.coveros.training.mathematics,Fibonacci,class,other,21,14,3,1,0,0,0,False,False,,
