project,source_package,target_package,category,count
7ep,com.coveros.training,org.openqa.selenium.chrome,external,1
7ep,com.coveros.training.authentication,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums,external,1
7ep,com.coveros.training.authentication,com.coveros.training.helpers.CheckUtils,external,1
7ep,com.coveros.training.authentication,me.gosimple.nbvcxz,external,1
7ep,com.coveros.training.authentication,org.junit.rules,external,1
7ep,com.coveros.training.authentication,org.mockito.internal.verification.VerificationModeFactory,external,1
7ep,com.coveros.training.autoinsurance,com.coveros.training.autoinsurance.WarningLetterEnum,external,1
7ep,com.coveros.training.autoinsurance,java.awt,external,1
7ep,com.coveros.training.autoinsurance,java.beans,external,1
7ep,com.coveros.training.autoinsurance,java.lang.annotation,external,1
7ep,com.coveros.training.autoinsurance,javax.swing,external,1
7ep,com.coveros.training.autoinsurance,javax.swing.JFrame,external,1
7ep,com.coveros.training.autoinsurance,javax.swing.SwingConstants,external,1
7ep,com.coveros.training.autoinsurance,javax.swing.border,external,1
7ep,com.coveros.training.autoinsurance,nl.jqno.equalsverifier,external,1
7ep,com.coveros.training.autoinsurance,org.jacoco.core.data,external,1
7ep,com.coveros.training.autoinsurance,org.junit.runner,external,1
7ep,com.coveros.training.autoinsurance,org.junit.runners,external,1
7ep,com.coveros.training.autoinsurance,org.junit.runners.Parameterized,external,1
7ep,com.coveros.training.cartesianproduct,io.cucumber.datatable,external,1
7ep,com.coveros.training.cartesianproduct,io.cucumber.java,external,1
7ep,com.coveros.training.cartesianproduct,org.junit,external,1
7ep,com.coveros.training.expenses,io.cucumber.datatable,external,1
7ep,com.coveros.training.expenses,io.cucumber.java,external,1
7ep,com.coveros.training.expenses,java.util,external,1
7ep,com.coveros.training.expenses,org.junit,external,1
7ep,com.coveros.training.helpers,com.coveros.training.helpers.StringUtils,external,1
7ep,com.coveros.training.helpers,java.time.temporal,external,1
7ep,com.coveros.training.helpers,java.util,external,1
7ep,com.coveros.training.helpers,org.apache.logging.log4j.core.util,external,1
7ep,com.coveros.training.helpers,org.checkerframework.checker.nullness.qual,external,1
7ep,com.coveros.training.helpers,org.junit.Assert,external,1
7ep,com.coveros.training.helpers,org.slf4j,external,1
7ep,com.coveros.training.library,com.coveros.training.library.LibraryBookListAvailableServlet,external,1
7ep,com.coveros.training.library,com.coveros.training.library.LibraryBookListSearchServlet,external,1
7ep,com.coveros.training.library,com.coveros.training.library.LibraryBorrowerListSearchServlet,external,1
7ep,com.coveros.training.library,java.time.format,external,1
7ep,com.coveros.training.library,org.junit.Assert,external,1
7ep,com.coveros.training.library,org.junit.rules,external,1
7ep,com.coveros.training.library,org.mockito.internal.verification.VerificationModeFactory,external,1
7ep,com.coveros.training.library.domainobjects,org.junit.Assert,external,1
7ep,com.coveros.training.math,java.math,external,1
7ep,com.coveros.training.mathematics,org.apache.commons.lang3.tuple,external,1
7ep,com.coveros.training.mathematics,org.junit.Assert,external,1
7ep,com.coveros.training.persistence,java.nio.charset,external,1
7ep,com.coveros.training.persistence,java.util.logging,external,1
7ep,com.coveros.training.persistence,javax.servlet.annotation,external,1
7ep,com.coveros.training.persistence,org.flywaydb.core,external,1
7ep,com.coveros.training.selenified,com.coveros.selenified.application,external,1
7ep,com.coveros.training.selenified,com.coveros.selenified.element,external,1
7ep,com.coveros.training.selenified,org.junit,external,1
7ep,com.coveros.training.selenified,org.testng,external,1
7ep,com.coveros.training.tomcat,javax.servlet.annotation,external,1
7ep,com.coveros.training.tomcat,org.junit,external,1
7ep,com.coveros.training.tomcat,org.mockito,external,1
