project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/system/internal/CrashController.java,org.springframework.samples.petclinic.system.internal,CrashController,class,controller,37,11,1,1,2,0,2,False,True,http-entrypoint,Controller|GetMapping
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/system/internal/SystemRuntimeHints.java,org.springframework.samples.petclinic.system.internal,SystemRuntimeHints,class,other,31,11,1,1,2,0,2,False,False,,Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/system/internal/WebConfiguration.java,org.springframework.samples.petclinic.system.internal,WebConfiguration,class,configuration,60,29,3,3,8,0,8,False,False,,Configuration|SuppressWarnings|Bean|Bean|Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/system/internal/WelcomeController.java,org.springframework.samples.petclinic.system.internal,WelcomeController,class,controller,30,10,1,1,2,0,2,False,True,http-entrypoint,Controller|GetMapping
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/Specialty.java,org.springframework.samples.petclinic.vet.internal,Specialty,class,domain,71,39,6,6,8,0,8,False,False,,Entity|Table|Id|GeneratedValue|Column|NotBlank|Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/Vet.java,org.springframework.samples.petclinic.vet.internal,Vet,class,domain,117,75,11,10,18,0,18,False,False,,Entity|Table|Id|GeneratedValue|Column|NotBlank|Column|NotBlank|ManyToMany|JoinTable|XmlElement
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VetController.java,org.springframework.samples.petclinic.vet.internal,VetController,class,controller,91,55,5,3,12,0,12,False,True,http-entrypoint,Controller|GetMapping|GetMapping
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VetEventListener.java,org.springframework.samples.petclinic.vet.internal,VetEventListener,class,other,51,21,3,0,5,1,4,False,False,,Component|ApplicationModuleListener|EventListener
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VetRepository.java,org.springframework.samples.petclinic.vet.internal,VetRepository,interface,other,58,16,0,0,7,0,7,False,False,,Transactional|Cacheable|Transactional|Cacheable
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VetRoster.java,org.springframework.samples.petclinic.vet.internal,VetRoster,class,service,89,37,3,0,7,1,6,False,False,,Service|Transactional|Transactional
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VetRuntimeHints.java,org.springframework.samples.petclinic.vet.internal,VetRuntimeHints,class,other,29,9,1,1,2,0,2,False,False,,Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/Vets.java,org.springframework.samples.petclinic.vet.internal,Vets,class,other,43,16,1,1,4,0,4,False,False,,XmlRootElement|XmlElement
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VisitAssignment.java,org.springframework.samples.petclinic.vet.internal,VisitAssignment,class,domain,65,37,6,0,8,0,8,False,False,,Entity|Table|Id|Column|ManyToOne|JoinColumn|Column
